020.56°C ;991.18 hPa ; 000.00°C ;0.00 hPa ;
-0.1210.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.71°C ;991.09 hPa ; 000.00°C ;0.00 hPa ;
0.0.711914 ;-0.012207 ;0.400391 ;-0.365854 ;
-0.060.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.71°C ;991.17 hPa ; 000.00°C ;0.00 hPa ;
0.0.702148 ;-0.012695 ;0.398438 ;-0.182927 ;
-0.180.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.71°C ;991.12 hPa ; 000.00°C ;0.00 hPa ;
0.0.699707 ;-0.010742 ;0.398438 ;-0.121951 ;
-0.240.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.70°C ;991.15 hPa ; 000.00°C ;0.00 hPa ;
0.0.708008 ;-0.018066 ;0.399414 ;-0.060976 ;
-0.120.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.70°C ;991.12 hPa ; 000.00°C ;0.00 hPa ;
0.0.699707 ;-0.009277 ;0.400879 ;0.060976 ;
0.06090.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.72°C ;991.12 hPa ; 000.00°C ;0.00 hPa ;
0.0.706055 ;-0.013184 ;0.400391 ;0.121951 ;
-0.1210.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.73°C ;991.09 hPa ; 000.00°C ;0.00 hPa ;
0.0.705078 ;-0.013672 ;0.396484 ;-0.121951 ;
-0.120.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.73°C ;991.15 hPa ; 000.00°C ;0.00 hPa ;
0.0.707031 ;-0.008301 ;0.401367 ;-0.121951 ;
-0.180.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.73°C ;991.07 hPa ; 000.00°C ;0.00 hPa ;
0.0.701172 ;-0.009277 ;0.400879 ;0.121951 ;
-0.0600.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.72°C ;991.09 hPa ; 000.00°C ;0.00 hPa ;
0.0.704102 ;-0.009766 ;0.399414 ;-0.060976 ;
-0.360.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.74°C ;991.09 hPa ; 000.00°C ;0.00 hPa ;
0.0.702637 ;-0.010742 ;0.397461 ;-0.121951 ;
-0.360.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.74°C ;991.07 hPa ; 000.00°C ;0.00 hPa ;
0.0.700195 ;-0.008301 ;0.395996 ;-0.304878 ;
0.1210.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.75°C ;991.07 hPa ; 000.00°C ;0.00 hPa ;
0.0.704102 ;-0.007812 ;0.396484 ;-0.121951 ;
0.0600.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.74°C ;991.09 hPa ; 000.00°C ;0.00 hPa ;
0.0.708984 ;-0.007812 ;0.403809 ;0.365854 ;
-0.1820.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.75°C ;991.09 hPa ; 000.00°C ;0.00 hPa ;
0.0.700684 ;-0.009766 ;0.395508 ;0.060976 ;
-0.5480.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.75°C ;991.15 hPa ; 000.00°C ;0.00 hPa ;
0.0.706055 ;-0.016113 ;0.398438 ;0.000000 ;
-0.1210.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.75°C ;991.07 hPa ; 000.00°C ;0.00 hPa ;
0.0.702148 ;-0.006348 ;0.396973 ;-0.060976 ;
-0.060.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.75°C ;991.12 hPa ; 000.00°C ;0.00 hPa ;
0.0.707031 ;-0.005371 ;0.395508 ;0.000000 ;
-0.1210.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.75°C ;991.17 hPa ; 000.00°C ;0.00 hPa ;
0.0.708008 ;-0.011230 ;0.398926 ;0.000000 ;
0.06090.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.75°C ;991.12 hPa ; 000.00°C ;0.00 hPa ;
0.0.706055 ;-0.012695 ;0.397461 ;0.060976 ;
-0.3650.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.76°C ;991.12 hPa ; 000.00°C ;0.00 hPa ;
0.0.705566 ;-0.009766 ;0.398926 ;0.000000 ;
-0.0600.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.75°C ;991.15 hPa ; 000.00°C ;0.00 hPa ;
0.0.707031 ;-0.012207 ;0.397461 ;-0.060976 ;
-0.060.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.75°C ;991.17 hPa ; 000.00°C ;0.00 hPa ;
0.0.703613 ;-0.009277 ;0.398926 ;-0.121951 ;
-0.480.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.75°C ;991.09 hPa ; 000.00°C ;0.00 hPa ;
0.0.705566 ;-0.010254 ;0.402344 ;-0.121951 ;
-0.300.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.75°C ;991.15 hPa ; 000.00°C ;0.00 hPa ;
0.0.704102 ;-0.007324 ;0.398926 ;-0.304878 ;
-0.240.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.75°C ;991.12 hPa ; 000.00°C ;0.00 hPa ;
0.0.703125 ;-0.010742 ;0.397949 ;-0.243902 ;
-0.180.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.74°C ;991.17 hPa ; 000.00°C ;0.00 hPa ;
0.0.704102 ;-0.010742 ;0.397949 ;0.000000 ;
-0.3650.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.74°C ;991.17 hPa ; 000.00°C ;0.00 hPa ;
0.0.701172 ;-0.009277 ;0.397949 ;-0.243902 ;
-0.240.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.74°C ;991.09 hPa ; 000.00°C ;0.00 hPa ;
0.0.701172 ;-0.012695 ;0.394531 ;-0.060976 ;
0.0000.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.75°C ;991.17 hPa ; 000.00°C ;0.00 hPa ;
0.0.702148 ;-0.007812 ;0.400879 ;-0.060976 ;
-0.420.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.75°C ;991.23 hPa ; 000.00°C ;0.00 hPa ;
0.0.705078 ;-0.007324 ;0.404785 ;-0.060976 ;
-0.240.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.76°C ;991.17 hPa ; 000.00°C ;0.00 hPa ;
0.0.701172 ;-0.007812 ;0.398438 ;-0.182927 ;
-0.300.0rH ;49.0rH ;000.00°C ;20.00 hPa ;
----------020.74°C ;991.17 hPa ; 000.00°C ;0.00 hPa ;
0.
