Date;Time;Latitude;Longitude;Altitude;Sat;RSSI
200325;174928;4821.46955N;00434.13750W;00093;04*044
200325;175405;4821.47777N;00434.14140W;00073;06*043
200325;175408;4821.47777N;00434.14140W;00073;06*044
200325;175411;4821.47777N;00434.14140W;00073;06*045
200325;175414;4821.47777N;00434.14140W;00072;06*042
200325;175417;4821.47777N;00434.14140W;00072;06*043
200325;175420;4821.47777N;00434.14140W;00072;06*044
200325;175423;4821.47777N;00434.14140W;00072;06*044
200325;175426;4821.47777N;00434.14140W;00071;06*043
200325;175429;4821.47777N;00434.14140W;00071;06*045
200325;175432;4821.47777N;00434.14140W;00071;06*043
200325;175435;4821.47777N;00434.14140W;00070;06*044
200325;175438;4821.47777N;00434.14140W;00070;06*043
200325;175441;4821.47600N;00434.14170W;00069;06*042
200325;175444;4821.47622N;00434.14230W;00069;06*043
200325;175447;4821.47633N;00434.14240W;00068;06*044
200325;175450;4821.47633N;00434.14240W;00067;06*043
200325;175453;4821.47799N;00434.14410W;00066;06*043
200325;175456;4821.47844N;00434.14460W;00065;06*044
200325;175459;4821.47877N;00434.14470W;00064;06*044
200325;175502;4821.47888N;00434.14490W;00063;06*043
200325;175505;4821.47888N;00434.14490W;00062;06*044
200325;175508;4821.47888N;00434.14490W;00061;06*044
200325;175511;4821.47888N;00434.14490W;00060;06*043
200325;175514;4821.47888N;00434.14490W;00059;06*042
200325;175517;4821.47888N;00434.14490W;00058;06*042
200325;175520;4821.47888N;00434.14490W;00057;06*043
200325;175523;4821.47888N;00434.14490W;00056;06*045
200325;175526;4821.47888N;00434.14490W;00056;06*043
200325;175529;4821.47888N;00434.14490W;00055;06*044
200325;175532;4821.47888N;00434.14490W;00054;06*044
200325;175535;4821.47888N;00434.14490W;00053;06*043
200325;175538;4821.47888N;00434.14490W;00052;06*043
200325;175541;4821.47966N;00434.14490W;00052;06*044
200325;175544;4821.47933N;00434.14460W;00051;06*044
200325;175547;4821.47933N;00434.14460W;00051;06*043
200325;175550;4821.47933N;00434.14460W;00051;06*044
200325;175553;4821.47933N;00434.14460W;00050;06*044
200325;175556;4821.47933N;00434.14460W;00050;06*043
200325;175559;4821.47933N;00434.14460W;00049;06*043
200325;175602;4821.47933N;00434.14460W;00049;06*044
200325;175605;4821.47933N;00434.14460W;00048;06*045
200325;175608;4821.47933N;00434.14460W;00048;06*045
200325;175611;4821.47933N;00434.14460W;00048;06*044
200325;175614;4821.47933N;00434.14460W;00047;06*043
200325;175617;4821.47933N;00434.14460W;00047;06*044
200325;175620;4821.47933N;00434.14460W;00047;06*043
200325;175623;4821.47933N;00434.14460W;00046;06*043
200325;175626;4821.47933N;00434.14460W;00046;06*044
200325;175629;4821.47933N;00434.14460W;00046;06*044
200325;175632;4821.47933N;00434.14460W;00046;06*044
200325;175635;4821.47933N;00434.14460W;00045;06*043
200325;175638;4821.47933N;00434.14460W;00045;06*044
200325;175641;4821.47933N;00434.14460W;00045;06*044
200325;175644;4821.47933N;00434.14460W;00045;06*044
200325;175647;4821.47933N;00434.14460W;00045;06*043
200325;175650;4821.47933N;00434.14460W;00046;06*044
200325;175653;4821.47933N;00434.14460W;00046;06*043
200325;175656;4821.47933N;00434.14460W;00046;06*043
200325;175659;4821.47933N;00434.14460W;00046;06*044
200325;175702;4821.47933N;00434.14460W;00046;06*044
200325;175705;4821.47933N;00434.14460W;00046;06*043
200325;175708;4821.47933N;00434.14460W;00047;06*044
200325;175711;4821.47933N;00434.14460W;00047;06*043
200325;175714;4821.47933N;00434.14460W;00047;06*043
200325;175717;4821.47933N;00434.14460W;00047;06*044
200325;175720;4821.47933N;00434.14460W;00048;06*043
200325;175723;4821.47933N;00434.14460W;00048;06*042
200325;175726;4821.47933N;00434.14460W;00048;06*043
200325;175729;4821.47933N;00434.14460W;00048;06*043
200325;175732;4821.47933N;00434.14460W;00049;06*043
200325;175735;4821.47933N;00434.14460W;00049;06*043
200325;175738;4821.47933N;00434.14460W;00050;06*043
200325;175741;4821.47933N;00434.14460W;00050;06*044
200325;175744;4821.47933N;00434.14460W;00050;06*043
200325;175747;4821.47933N;00434.14460W;00051;06*043
200325;175750;4821.47933N;00434.14460W;00051;06*043
200325;175753;4821.47933N;00434.14460W;00051;06*043
200325;175756;4821.47933N;00434.14460W;00052;06*044
200325;175759;4821.47933N;00434.14460W;00052;06*043
200325;175802;4821.47933N;00434.14460W;00052;06*045
200325;175805;4821.47933N;00434.14460W;00053;06*043
200325;175808;4821.47933N;00434.14460W;00053;06*042
200325;175811;4821.47933N;00434.14460W;00053;06*044
200325;175814;4821.47933N;00434.14460W;00054;06*043
200325;175817;4821.47933N;00434.14460W;00054;06*043
200325;175820;4821.47933N;00434.14460W;00054;06*044
200325;175823;4821.47933N;00434.14460W;00054;06*043
200325;175826;4821.47933N;00434.14460W;00054;06*045
200325;175829;4821.47933N;00434.14460W;00055;06*043
200325;175832;4821.47933N;00434.14460W;00055;06*042
200325;175835;4821.47933N;00434.14460W;00055;06*044
200325;175838;4821.47933N;00434.14460W;00055;06*043
200325;175841;4821.47933N;00434.14460W;00055;06*044
200325;175844;4821.47933N;00434.14460W;00055;06*044
200325;175847;4821.47933N;00434.14460W;00055;06*043
200325;175850;4821.47933N;00434.14460W;00055;06*044
200325;175853;4821.47933N;00434.14460W;00055;06*044
200325;175856;4821.47933N;00434.14460W;00055;06*044
200325;175859;4821.47933N;00434.14460W;00055;06*044
200325;175902;4821.47933N;00434.14460W;00055;06*043
200325;175905;4821.47933N;00434.14460W;00055;06*042
200325;175908;4821.47933N;00434.14460W;00055;06*044
200325;175911;4821.47933N;00434.14460W;00055;06*044
200325;175914;4821.47933N;00434.14460W;00055;06*046
200325;175917;4821.47933N;00434.14460W;00055;06*043
200325;175920;4821.47933N;00434.14460W;00055;06*045
200325;175923;4821.47488N;00434.14050W;00055;05*044
200325;175926;4821.47555N;00434.14170W;00055;06*044
200325;175929;4821.47555N;00434.14170W;00055;06*044
200325;175932;4821.47555N;00434.14170W;00055;06*044
200325;175935;4821.47555N;00434.14170W;00054;06*042
200325;175938;4821.47555N;00434.14170W;00054;05*043
200325;175941;4821.47555N;00434.14170W;00054;06*044
200325;175944;4821.47555N;00434.14170W;00054;05*043
200325;175947;4821.47555N;00434.14170W;00053;05*044
200325;175950;4821.47555N;00434.14170W;00053;06*044
200325;175953;4821.47555N;00434.14170W;00053;05*044
200325;175956;4821.47555N;00434.14170W;00053;06*044
200325;175959;4821.47555N;00434.14170W;00053;05*043
200325;180002;4821.47555N;00434.14170W;00053;05*043
200325;180005;4821.47555N;00434.14170W;00052;05*043
200325;180008;4821.47555N;00434.14170W;00052;05*044
200325;180011;4821.47555N;00434.14170W;00052;05*044
200325;180014;4821.47555N;00434.14170W;00052;05*043
200325;180017;4821.47555N;00434.14170W;00052;05*044
200325;180020;4821.47555N;00434.14170W;00052;05*044
200325;180023;4821.47555N;00434.14170W;00052;05*043
200325;180026;4821.47555N;00434.14170W;00052;05*047
200325;180029;4821.47555N;00434.14170W;00052;06*048
200325;180032;4821.47666N;00434.14340W;00052;06*053
200325;180035;4821.47666N;00434.13970W;00052;06*060
200325;180038;4821.47688N;00434.13540W;00052;06*053
200325;180041;4821.47733N;00434.13130W;00052;06*067
200325;180044;4821.47799N;00434.12760W;00053;06*060
200325;180047;4821.47711N;00434.12390W;00053;06*061
200325;180050;4821.47800N;00434.12010W;00054;06*071
200325;180053;4821.47933N;00434.11760W;00054;05*079
200325;180056;4821.48066N;00434.11550W;00055;06*086
200325;180059;4821.48255N;00434.11430W;00056;05*065
200325;180102;4821.48466N;00434.11370W;00056;05*073
200325;180105;4821.48666N;00434.11360W;00057;05*061
200325;180108;4821.48544N;00434.11440W;00057;06*064
200325;180111;4821.48333N;00434.11510W;00058;06*074
200325;180114;4821.48122N;00434.11610W;00058;06*059
200325;180117;4821.47977N;00434.11860W;00058;06*057
200325;180120;4821.47855N;00434.12140W;00058;06*061
200325;180123;4821.47733N;00434.12460W;00058;06*055
200325;180126;4821.47699N;00434.12750W;00058;06*055
200325;180129;4821.47666N;00434.13100W;00059;06*058
200325;180132;4821.47611N;00434.13380W;00059;06*054
200325;180135;4821.47655N;00434.13760W;00059;06*044
200325;180138;4821.47666N;00434.14090W;00059;06*044
200325;180141;4821.47700N;00434.14230W;00059;06*043
200325;180144;4821.47666N;00434.14240W;00059;06*044
200325;180147;4821.47677N;00434.14240W;00059;06*043
200325;180150;4821.47677N;00434.14240W;00059;06*043
200325;180153;4821.47677N;00434.14240W;00059;06*045
200325;180156;4821.47677N;00434.14240W;00059;06*046
200325;180159;4821.47677N;00434.14240W;00059;06*044
200325;180202;4821.47677N;00434.14240W;00058;06*044
200325;180205;4821.47677N;00434.14240W;00058;06*045
200325;180208;4821.47677N;00434.14240W;00058;06*046
200325;180211;4821.47677N;00434.14240W;00058;06*044
200325;180214;4821.47677N;00434.14240W;00058;06*043
200325;180217;4821.47677N;00434.14240W;00057;06*043
200325;180347;4821.47599N;00434.13950W;00059;05*044
200325;180350;4821.47599N;00434.13950W;00059;05*044
200325;180353;4821.47599N;00434.13950W;00059;05*044
200325;180356;4821.47599N;00434.13950W;00060;05*044
200325;180359;4821.47599N;00434.13950W;00060;05*043
200325;180402;4821.47599N;00434.13950W;00060;05*043
200325;180405;4821.47599N;00434.13950W;00060;05*044
200325;180408;4821.47599N;00434.13950W;00060;05*044
200325;180411;4821.47599N;00434.13950W;00060;05*043
200325;180414;4821.47599N;00434.13950W;00060;05*043
200325;180417;4821.47599N;00434.13950W;00060;05*043
200325;180420;4821.47599N;00434.13950W;00060;05*043
200325;180423;4821.47599N;00434.13950W;00060;05*045
200325;180426;4821.47599N;00434.13950W;00060;05*043
